Name, Time, Batch Dimension, ARows, ACols, BCols, B1, B2, B3, Correctness
kernel12x24,0.0464487,1,1000,1000,1000,480,480,480,1
kernel12x32,0.0461669,1,1000,1000,1000,480,480,480,1
kernel8x16,0.442691,4,2000,2000,2000,480,480,480,1
kernel14x8,0.505937,4,2000,2000,2000,480,480,480,1
kernel4x12,0.640526,4,2000,2000,2000,480,480,480,1
kernel10x12,0.511083,4,2000,2000,2000,480,480,480,1
kernel14x16,0.722049,4,2000,2000,2000,480,480,480,1
kernel18x20,0.660072,4,2000,2000,2000,480,480,480,1
kernel12x24,0.687686,4,2000,2000,2000,480,480,480,1
kernel12x32,0.674417,4,2000,2000,2000,480,480,480,1
